,index,NCTId,Inclusion,Exclusion,description,cluster
0,0,NCT03581708,"Age ≥ 18 years at the time of screening.
Eastern Cooperative Oncology Group performance status of ≤ 2.
Written informed consent obtained from the patient.
Histologically and cytologically documented Stage 3B-4 lung cancer (according to Version 8 of the International Association for the Study of Lung Cancer Staging system).
Patients with stage 1 to 3, who undergo radical therapy with disease free survival (DFS) >12 months.
Willingness and ability to comply with scheduled visits and other study procedures.","History of another primary malignancy except for malignancy treated with curative intent with known active disease ≥ 5 years before date of the informed consent.
Without signed informed consent.
Unwillingness or inability to comply with scheduled visits or other study procedures.
Previously diagnosed with VTE before signing informed consent.","Age ≥ 18 years at the time of screening.
Eastern Cooperative Oncology Group performance status of ≤ 2.
Written informed consent obtained from the patient.
Histologically and cytologically documented Stage 3B-4 lung cancer (according to Version 8 of the International Association for the Study of Lung Cancer Staging system).
Patients with stage 1 to 3, who undergo radical therapy with disease free survival (DFS) >12 months.
Willingness and ability to comply with scheduled visits and other study procedures.History of another primary malignancy except for malignancy treated with curative intent with known active disease ≥ 5 years before date of the informed consent.
Without signed informed consent.
Unwillingness or inability to comply with scheduled visits or other study procedures.
Previously diagnosed with VTE before signing informed consent.",2
1,1,NCT02053662,"Adult patients ≥18 years old.
Patients suspected, clinically diagnosed, or histologically diagnosed bladder cancer.
Patients undergoing cystoscopy without cancer suspicion.
Ability to give an informed consent.","Patients receiving concurrent therapy for a second malignancy.
< 18 years old.
Inability to give an informed consent.","Adult patients ≥18 years old.
Patients suspected, clinically diagnosed, or histologically diagnosed bladder cancer.
Patients undergoing cystoscopy without cancer suspicion.
Ability to give an informed consent.Patients receiving concurrent therapy for a second malignancy.
< 18 years old.
Inability to give an informed consent.",18
2,2,NCT02890667,"Beneficiaries present in the EGB on January 1, 2012.
Beneficiaries who are < 90 years old on January 1, 2012.
Beneficiaries residing in metropolitan France.
Beneficiaries affiliated with the general insurance scheme since January 1, 2011 or before.","No prevalent cancer before January 1, 2012; ( hospital discharge with a primary, related or associated diagnosis of cancer (C00-C97), or personal history of cancer (Z85); LTD status related to cancer; reimbursement for any cancer-specific drug; or external radiotherapy session).","Beneficiaries present in the EGB on January 1, 2012.
Beneficiaries who are < 90 years old on January 1, 2012.
Beneficiaries residing in metropolitan France.
Beneficiaries affiliated with the general insurance scheme since January 1, 2011 or before.No prevalent cancer before January 1, 2012; ( hospital discharge with a primary, related or associated diagnosis of cancer (C00-C97), or personal history of cancer (Z85); LTD status related to cancer; reimbursement for any cancer-specific drug; or external radiotherapy session).",22
3,3,NCT00512551,"Newly diagnosed cervical cancer: clinical Stage IB -IIIB
Invasive pure squamous cell carcinoma
Planned treatment with concurrent cisplatinum/5-fluorouracil chemotherapy and pelvic radiation",1. Previous cervical cancer treatment including but not limited to transvaginal cone irradiation,"Newly diagnosed cervical cancer: clinical Stage IB -IIIB
Invasive pure squamous cell carcinoma
Planned treatment with concurrent cisplatinum/5-fluorouracil chemotherapy and pelvic radiation1. Previous cervical cancer treatment including but not limited to transvaginal cone irradiation",11
4,4,NCT03687151,All subjects with a diagnosis of invasive or in situ cancer living in the French Region Sud-Provence-Alpes-Côte d'Azur.,-,All subjects with a diagnosis of invasive or in situ cancer living in the French Region Sud-Provence-Alpes-Côte d'Azur.-,17
5,5,NCT02147080,"Age 18-25 years old
Moderate to high risk of skin cancer (cut-off of >=27 on the Brief Skin Cancer Risk Assessment Tool)",History of skin cancer,"Age 18-25 years old
Moderate to high risk of skin cancer (cut-off of >=27 on the Brief Skin Cancer Risk Assessment Tool)History of skin cancer",1
6,6,NCT01914107,"Solid tumors confirmed by pathology or cytology
Eastern Cooperative Oncology Group Performance Status: 0-2
sign the informed consent form
good compliance, willing to comply with the requirements of the study
anticipate survival time more than 3 months
pain intensity is greater than 2 points according to numerical rating scale on enrollment; have indication of opioid analgesic drugs.
can express subjective feelings of pain intensity clearly.
own a smartphone or tablet device which can install and use the application program software, and can operate the software proficiently.","poor compliance, refuse to sign the informed consent form, or difficult to comply with the requirement of the study.
slight pain or no pain, no indication of opioid analgesic drugs.
contraindication of opioid analgesic drugs
no other medical workers give instructions during the study.","Solid tumors confirmed by pathology or cytology
Eastern Cooperative Oncology Group Performance Status: 0-2
sign the informed consent form
good compliance, willing to comply with the requirements of the study
anticipate survival time more than 3 months
pain intensity is greater than 2 points according to numerical rating scale on enrollment; have indication of opioid analgesic drugs.
can express subjective feelings of pain intensity clearly.
own a smartphone or tablet device which can install and use the application program software, and can operate the software proficiently.poor compliance, refuse to sign the informed consent form, or difficult to comply with the requirement of the study.
slight pain or no pain, no indication of opioid analgesic drugs.
contraindication of opioid analgesic drugs
no other medical workers give instructions during the study.",1
7,7,NCT00283075,"End-stage, treatment resistant epithelial-derived cancer (carcinoma) arising originally within the abdominal cavity with expected minimum six-month survival",Multiple intraabdominal metastases or carcinomatosis or other medical conditions indicating that the procedure would be of too high a risk for the individual,"End-stage, treatment resistant epithelial-derived cancer (carcinoma) arising originally within the abdominal cavity with expected minimum six-month survivalMultiple intraabdominal metastases or carcinomatosis or other medical conditions indicating that the procedure would be of too high a risk for the individual",1
8,8,NCT01470586,"Patients with colorectal cancer
Controls","ASA>3
Metastatic Disease
Acute bowel obstruction
Acute bowel perforation
BMI<30
Chronic Systemic or Autoimmune Diseases
Smokers
Alcohol consumers","Patients with colorectal cancer
ControlsASA>3
Metastatic Disease
Acute bowel obstruction
Acute bowel perforation
BMI<30
Chronic Systemic or Autoimmune Diseases
Smokers
Alcohol consumers",8
9,9,NCT03992833,"Aged 40-74 years;
Resident in the Hexi district of Tianjin city for at least 3 years;
Having no self-reported history of any malignant tumor.",Pregnant woman will be excluded.,"Aged 40-74 years;
Resident in the Hexi district of Tianjin city for at least 3 years;
Having no self-reported history of any malignant tumor.Pregnant woman will be excluded.",1
10,10,NCT01178736,"Breast Cancer: women age 35-64
Cervical Cancer: women age 30-59
Ovarian Cancer: symptomatic post menopausal women age 50-64
Endometrial Cancer: symptomatic post menopausal women age 50-64",women under the age of 30,"Breast Cancer: women age 35-64
Cervical Cancer: women age 30-59
Ovarian Cancer: symptomatic post menopausal women age 50-64
Endometrial Cancer: symptomatic post menopausal women age 50-64women under the age of 30",17
11,11,NCT01130285,"20 or more pack year smoking history
clinical need for diagnostic bronchoscopy or consent to study driven bronchoscopy",Lung Cancer within 3 months after the date of enrollment,"20 or more pack year smoking history
clinical need for diagnostic bronchoscopy or consent to study driven bronchoscopyLung Cancer within 3 months after the date of enrollment",8
12,12,NCT00948337,"Age >=18, <80
Cancer survivors (pathologically confirmed)
Finished primary treatment (surgery, radiotherapy, chemotherapy)
>= 1 year from cancer diagnosis
No evidence of recurrence, metastasis, and second primary cancer
No evidence of hereditary cancer
ECOG 0,1,2
Ability in reading Korean educational material","ECOG 3,4
Disagree with the investigators study purpose","Age >=18, <80
Cancer survivors (pathologically confirmed)
Finished primary treatment (surgery, radiotherapy, chemotherapy)
>= 1 year from cancer diagnosis
No evidence of recurrence, metastasis, and second primary cancer
No evidence of hereditary cancer
ECOG 0,1,2
Ability in reading Korean educational materialECOG 3,4
Disagree with the investigators study purpose",6
13,13,NCT03573661,"Age > 18 years.
Histologic diagnosis of palpable invasive breast cancer or ductal carcinoma in situ.
Patient desire to undergo breast surgery (lumpectomy or non-skin sparing mastectomy).
Ability to voluntarily provide informed consent to participate prior to any study-related assessments/procedures being conducted.
The cancer enhances on prone breast MRI imaging
The cancer is visible on mammography.","Absolute contraindication to MRI, including presence of implanted electrical device (pacemaker or neurostimulator), aneurysm clip, or metallic foreign body in or near eyes.
Severe claustrophobia.
Contraindication to use of gadolinium-based intravenous contrast, including life- threatening allergy or compromised renal function (creatinine > 2.0).
History of median sternotomy.
Pregnancy. Patient attestation that they are not pregnant will be acceptable.
Patients receiving neoadjuvant chemotherapy.","Age > 18 years.
Histologic diagnosis of palpable invasive breast cancer or ductal carcinoma in situ.
Patient desire to undergo breast surgery (lumpectomy or non-skin sparing mastectomy).
Ability to voluntarily provide informed consent to participate prior to any study-related assessments/procedures being conducted.
The cancer enhances on prone breast MRI imaging
The cancer is visible on mammography.Absolute contraindication to MRI, including presence of implanted electrical device (pacemaker or neurostimulator), aneurysm clip, or metallic foreign body in or near eyes.
Severe claustrophobia.
Contraindication to use of gadolinium-based intravenous contrast, including life- threatening allergy or compromised renal function (creatinine > 2.0).
History of median sternotomy.
Pregnancy. Patient attestation that they are not pregnant will be acceptable.
Patients receiving neoadjuvant chemotherapy.",24
14,14,NCT04022616,"18 years of age or older
Ability to give informed consent
Stage I-III breast malignancy",Unable to tolerate venipuncture,"18 years of age or older
Ability to give informed consent
Stage I-III breast malignancyUnable to tolerate venipuncture",13
15,15,NCT03662633,"Receiving no treatment before diagnosis
Establishing Diagnosis according to biopsy or surgery","Patients who are not mentally capable of giving written informed consent
Clinical data missing
Serum samples doesn't qualified
Patients with a diagnosis of other severe acute or chronic medical conditions that may interfere with the interpretation of the study results","Receiving no treatment before diagnosis
Establishing Diagnosis according to biopsy or surgeryPatients who are not mentally capable of giving written informed consent
Clinical data missing
Serum samples doesn't qualified
Patients with a diagnosis of other severe acute or chronic medical conditions that may interfere with the interpretation of the study results",13
16,16,NCT01428167,"All patients undergoing thyroidectomy for a variety of indications at University of Texas Medical Branch in Galveston between June 2011-May 2012
Age 18-80 years old",History of previous radiotherapy to head and neck and History of radioactive iodine therapy,"All patients undergoing thyroidectomy for a variety of indications at University of Texas Medical Branch in Galveston between June 2011-May 2012
Age 18-80 years oldHistory of previous radiotherapy to head and neck and History of radioactive iodine therapy",1
17,17,NCT03143140,"tumor number ≤3， maximum tumor size ≤5cm;
accessibility of tumors via a percutaneous approach;
tumor feeding artery can be detected by 3D contrast enhance ultrasound;
platelet count ≥ 50,000/ml and INR <1.6;
life expectancy more than 6 months
Child grade A or B","patients who scheduled liver transplantation
with extrahepatic metastasis
women during menstruation, pregnancy, child birth and baby nursing period
patients with severe mental disorder
cardiopulmonary failure","tumor number ≤3， maximum tumor size ≤5cm;
accessibility of tumors via a percutaneous approach;
tumor feeding artery can be detected by 3D contrast enhance ultrasound;
platelet count ≥ 50,000/ml and INR <1.6;
life expectancy more than 6 months
Child grade A or Bpatients who scheduled liver transplantation
with extrahepatic metastasis
women during menstruation, pregnancy, child birth and baby nursing period
patients with severe mental disorder
cardiopulmonary failure",20
18,18,NCT01723969,"Colo-rectal cancer (advanced or metastatic)
Before patient registration, written informed consent must be given according to ICH/GCP, and national/local regulations.",Absence of patient's consent,"Colo-rectal cancer (advanced or metastatic)
Before patient registration, written informed consent must be given according to ICH/GCP, and national/local regulations.Absence of patient's consent",13
19,19,NCT03797482,"Clinically diagnosis of breast cancer (by FNAC or Biopsy)
Not received any chemotherapy or surgical intervention except core biopsy.
Planed for Breast cancer surgery
Willing to give consent for the study","Clinically diagnosis of Metastatic breast cancer
Received any anticancer therapy","Clinically diagnosis of breast cancer (by FNAC or Biopsy)
Not received any chemotherapy or surgical intervention except core biopsy.
Planed for Breast cancer surgery
Willing to give consent for the studyClinically diagnosis of Metastatic breast cancer
Received any anticancer therapy",5
